,train_acc,valid_acc,test_acc,model,n_suprious
0,0.9333333333333333,0.6,0.65,Graphsage,2.0
1,0.7666666666666667,0.65,0.65,proposed,2.0
2,0.8,0.85,0.7,Graphsage,1.0
3,1.0,0.75,0.6,proposed,1.0
4,0.8,0.7,0.35,Graphsage,3.0
5,0.9,0.7,0.25,proposed,3.0
6,0.8333333333333334,0.65,0.4,Graphsage,2.0
7,0.9,0.75,0.5,proposed,2.0
8,0.9666666666666667,0.4,0.35,Graphsage,3.0
9,0.8666666666666667,0.3,0.65,proposed,3.0
10,0.9,0.7,0.55,Graphsage,1.0
11,0.9666666666666667,0.65,0.65,proposed,1.0
12,0.9,0.65,0.65,Graphsage,1.0
13,0.8666666666666667,0.55,0.6,proposed,1.0
14,1.0,0.7,0.35,Graphsage,1.0
15,0.9666666666666667,0.55,0.6,proposed,1.0
16,1.0,0.85,0.7,Graphsage,1.0
17,1.0,0.8,0.6,proposed,1.0
18,1.0,0.8,0.45,Graphsage,2.0
19,0.9,0.75,0.5,proposed,2.0
20,0.9666666666666667,0.8,0.55,Graphsage,1.0
21,0.8333333333333334,0.65,0.55,proposed,1.0
22,0.9333333333333333,0.75,0.65,Graphsage,2.0
23,0.9333333333333333,0.8,0.75,proposed,2.0
24,1.0,0.45,0.3,Graphsage,3.0
25,0.8666666666666667,0.65,0.6,proposed,3.0
26,0.9666666666666667,0.65,0.65,Graphsage,1.0
27,0.9,0.6,0.55,proposed,1.0
28,0.8,0.5,0.6,Graphsage,1.0
29,0.9333333333333333,0.5,0.55,proposed,1.0
30,0.9666666666666667,0.75,0.35,Graphsage,2.0
31,1.0,0.75,0.65,proposed,2.0
32,0.6666666666666666,0.4,0.55,Graphsage,1.0
33,0.5666666666666667,0.6,0.3,proposed,1.0
34,1.0,0.65,0.55,Graphsage,2.0
35,0.9666666666666667,0.75,0.55,proposed,2.0
36,0.9666666666666667,0.6,0.8,Graphsage,1.0
37,0.9666666666666667,0.6,0.45,proposed,1.0
38,0.9666666666666667,0.65,0.45,Graphsage,6.0
39,0.8333333333333334,0.75,0.35,proposed,6.0
40,0.9333333333333333,0.8,0.7,Graphsage,3.0
41,0.8333333333333334,0.65,0.6,proposed,3.0
42,0.8666666666666667,0.8,0.4,Graphsage,1.0
43,0.9,0.6,0.5,proposed,1.0
44,1.0,0.7,0.8,Graphsage,1.0
45,0.8666666666666667,0.65,0.45,proposed,1.0
46,1.0,0.75,0.4,Graphsage,4.0
47,1.0,0.85,0.35,proposed,4.0
48,0.6666666666666666,0.45,0.45,Graphsage,1.0
49,0.7,0.55,0.8,proposed,1.0
50,0.7666666666666667,0.7,0.4,Graphsage,2.0
51,0.7333333333333333,0.4,0.5,proposed,2.0
52,0.9333333333333333,0.5,0.5,Graphsage,3.0
53,0.8666666666666667,0.45,0.4,proposed,3.0
54,1.0,0.8,0.55,Graphsage,1.0
55,1.0,0.75,0.55,proposed,1.0
56,1.0,0.85,0.65,Graphsage,3.0
57,1.0,0.85,0.65,proposed,3.0
58,0.8666666666666667,0.5,0.5,Graphsage,1.0
59,1.0,0.75,0.7,proposed,1.0
60,1.0,0.75,0.6,Graphsage,1.0
61,0.9666666666666667,0.65,0.65,proposed,1.0
62,0.9,0.75,0.4,Graphsage,4.0
63,1.0,0.5,0.3,proposed,4.0
64,0.6666666666666666,0.55,0.45,Graphsage,3.0
65,0.7,0.45,0.5,proposed,3.0
66,0.9333333333333333,0.7,0.6,Graphsage,1.0
67,1.0,0.55,0.7,proposed,1.0
68,0.9666666666666667,0.75,0.6,Graphsage,2.0
69,0.9333333333333333,0.65,0.7,proposed,2.0
70,0.9333333333333333,0.5,0.45,Graphsage,2.0
71,0.9666666666666667,0.65,0.75,proposed,2.0
72,0.8,0.65,0.55,Graphsage,2.0
73,0.5333333333333333,0.55,0.5,proposed,2.0
74,1.0,0.9,0.45,Graphsage,3.0
75,0.9,0.8,0.55,proposed,3.0
76,0.8,0.4,0.4,Graphsage,4.0
77,0.8333333333333334,0.3,0.7,proposed,4.0
78,1.0,0.7,0.5,Graphsage,1.0
79,0.8333333333333334,0.45,0.5,proposed,1.0
80,0.9666666666666667,0.7,0.4,Graphsage,3.0
81,0.9,0.55,0.45,proposed,3.0
82,1.0,0.55,0.65,Graphsage,2.0
83,0.8333333333333334,0.55,0.4,proposed,2.0
84,0.8333333333333334,0.4,0.55,Graphsage,3.0
85,0.9,0.5,0.7,proposed,3.0
86,1.0,0.8,0.5,Graphsage,1.0
87,0.9,0.7,0.45,proposed,1.0
88,0.8333333333333334,0.7,0.5,Graphsage,2.0
89,0.9333333333333333,0.55,0.6,proposed,2.0
90,0.8333333333333334,0.65,0.55,Graphsage,3.0
91,0.8333333333333334,0.65,0.55,proposed,3.0
92,0.9666666666666667,0.65,0.55,Graphsage,3.0
93,0.6333333333333333,0.65,0.45,proposed,3.0
94,0.9333333333333333,0.65,0.7,Graphsage,1.0
95,0.9,0.55,0.45,proposed,1.0
96,0.9666666666666667,0.65,0.7,Graphsage,4.0
97,0.9333333333333333,0.55,0.3,proposed,4.0
98,0.6333333333333333,0.7,0.5,Graphsage,3.0
99,0.6333333333333333,0.4,0.55,proposed,3.0
