,train_acc,valid_acc,test_acc,model,n_suprious
1,0.8333333333333334,0.7,0.6,proposed,2.0
3,0.8666666666666667,0.75,0.7,proposed,4.0
5,0.7,0.4,0.75,proposed,1.0
7,0.5333333333333333,0.65,0.5,proposed,2.0
9,0.7666666666666667,0.45,0.45,proposed,1.0
11,0.5333333333333333,0.65,0.5,proposed,1.0
13,0.6,0.5,0.55,proposed,1.0
15,0.8666666666666667,0.6,0.7,proposed,2.0
17,0.5666666666666667,0.7,0.65,proposed,3.0
19,0.6,0.45,0.75,proposed,2.0
21,0.6,0.65,0.6,proposed,2.0
23,0.43333333333333335,0.35,0.45,proposed,1.0
25,0.5666666666666667,0.45,0.5,proposed,1.0
27,0.9,0.65,0.6,proposed,1.0
29,0.8,0.55,0.65,proposed,2.0
31,0.6666666666666666,0.55,0.3,proposed,2.0
33,0.6333333333333333,0.55,0.75,proposed,1.0
35,0.7666666666666667,0.65,0.35,proposed,1.0
37,1.0,0.5,0.4,proposed,3.0
39,0.7,0.6,0.4,proposed,2.0
41,0.5666666666666667,0.6,0.35,proposed,1.0
43,0.7,0.5,0.65,proposed,1.0
45,0.6333333333333333,0.5,0.55,proposed,3.0
47,0.8666666666666667,0.6,0.45,proposed,1.0
49,0.6333333333333333,0.45,0.65,proposed,2.0
51,0.6666666666666666,0.55,0.55,proposed,3.0
53,0.6666666666666666,0.5,0.45,proposed,1.0
55,0.8333333333333334,0.55,0.6,proposed,2.0
57,0.8333333333333334,0.5,0.45,proposed,3.0
59,0.8666666666666667,0.55,0.45,proposed,3.0
61,0.6333333333333333,0.45,0.35,proposed,2.0
63,0.7666666666666667,0.55,0.3,proposed,4.0
65,0.6333333333333333,0.65,0.45,proposed,3.0
67,0.9333333333333333,0.55,0.55,proposed,1.0
69,0.8666666666666667,0.6,0.6,proposed,1.0
71,0.6333333333333333,0.6,0.25,proposed,2.0
73,0.7666666666666667,0.55,0.4,proposed,1.0
75,0.9666666666666667,0.7,0.5,proposed,5.0
77,0.9,0.8,0.6,proposed,2.0
79,0.8333333333333334,0.6,0.5,proposed,2.0
81,0.6333333333333333,0.6,0.35,proposed,2.0
83,0.6666666666666666,0.5,0.65,proposed,1.0
85,0.6333333333333333,0.25,0.4,proposed,1.0
87,0.9666666666666667,0.75,0.55,proposed,3.0
89,0.6333333333333333,0.6,0.6,proposed,1.0
91,0.5666666666666667,0.25,0.55,proposed,2.0
93,0.6333333333333333,0.3,0.6,proposed,4.0
95,0.9333333333333333,0.6,0.6,proposed,2.0
97,0.8666666666666667,0.55,0.5,proposed,1.0
99,0.9,0.65,0.75,proposed,2.0
