,train_acc,valid_acc,test_acc,model,n_suprious
0,0.8333333333333334,0.55,0.5,GCN,2.0
1,0.8333333333333334,0.5,0.55,proposed,2.0
2,0.9666666666666667,0.55,0.75,GCN,1.0
3,0.9333333333333333,0.7,0.65,proposed,1.0
4,0.9,0.4,0.45,GCN,4.0
5,0.8333333333333334,0.45,0.55,proposed,4.0
6,0.8,0.6,0.4,GCN,2.0
7,0.7666666666666667,0.55,0.3,proposed,2.0
8,0.9666666666666667,0.55,0.6,GCN,3.0
9,1.0,0.45,0.55,proposed,3.0
10,0.8333333333333334,0.5,0.55,GCN,2.0
11,0.7,0.7,0.55,proposed,2.0
12,1.0,0.75,0.5,GCN,1.0
13,1.0,0.75,0.5,proposed,1.0
14,0.8,0.6,0.75,GCN,2.0
15,0.9333333333333333,0.6,0.65,proposed,2.0
16,0.8,0.4,0.55,GCN,2.0
17,0.9666666666666667,0.45,0.55,proposed,2.0
18,0.9666666666666667,0.6,0.8,GCN,2.0
19,0.9666666666666667,0.65,0.45,proposed,2.0
20,0.6666666666666666,0.45,0.5,GCN,2.0
21,0.7,0.45,0.5,proposed,2.0
22,0.8,0.75,0.55,GCN,3.0
23,0.8333333333333334,0.65,0.45,proposed,3.0
24,0.8,0.5,0.85,GCN,1.0
25,0.8,0.55,0.75,proposed,1.0
26,0.9,0.55,0.5,GCN,3.0
27,0.8666666666666667,0.65,0.4,proposed,3.0
28,0.8666666666666667,0.6,0.75,GCN,1.0
29,0.9,0.6,0.5,proposed,1.0
30,0.8666666666666667,0.45,0.6,GCN,1.0
31,0.9,0.55,0.45,proposed,1.0
32,0.8333333333333334,0.6,0.55,GCN,3.0
33,0.8333333333333334,0.5,0.55,proposed,3.0
34,0.8,0.5,0.75,GCN,2.0
35,0.7,0.3,0.4,proposed,2.0
36,0.8666666666666667,0.7,0.45,GCN,1.0
37,1.0,0.7,0.4,proposed,1.0
38,0.9333333333333333,0.8,0.5,GCN,2.0
39,1.0,0.7,0.25,proposed,2.0
40,0.8,0.4,0.45,GCN,1.0
41,0.8,0.45,0.25,proposed,1.0
