,train_acc,valid_acc,test_acc,model,n_suprious
1,0.6666666666666666,0.55,0.6,proposed,2.0
3,0.6666666666666666,0.6,0.55,proposed,3.0
5,0.5,0.45,0.35,proposed,2.0
7,0.8,0.65,0.35,proposed,2.0
9,0.8,0.65,0.4,proposed,1.0
11,0.7,0.6,0.6,proposed,3.0
13,0.6,0.5,0.35,proposed,4.0
15,0.8666666666666667,0.65,0.6,proposed,1.0
17,0.6,0.45,0.55,proposed,5.0
19,0.8,0.65,0.55,proposed,2.0
21,0.7666666666666667,0.6,0.6,proposed,3.0
23,0.8666666666666667,0.65,0.45,proposed,2.0
25,0.8,0.5,0.55,proposed,1.0
27,0.8333333333333334,0.8,0.45,proposed,3.0
29,0.8333333333333334,0.55,0.35,proposed,1.0
31,0.9,0.8,0.35,proposed,1.0
33,0.5333333333333333,0.45,0.85,proposed,3.0
35,0.5333333333333333,0.4,0.4,proposed,2.0
37,0.8,0.9,0.45,proposed,5.0
39,0.6333333333333333,0.4,0.45,proposed,1.0
41,0.6666666666666666,0.7,0.45,proposed,3.0
43,0.6666666666666666,0.45,0.65,proposed,3.0
45,0.5333333333333333,0.5,0.4,proposed,2.0
47,0.9,0.7,0.75,proposed,3.0
49,0.8666666666666667,0.5,0.45,proposed,3.0
51,0.7666666666666667,0.55,0.4,proposed,1.0
53,0.8333333333333334,0.5,0.55,proposed,1.0
55,0.6666666666666666,0.6,0.5,proposed,5.0
57,0.6,0.5,0.5,proposed,1.0
59,0.6,0.45,0.4,proposed,5.0
61,0.8666666666666667,0.6,0.55,proposed,5.0
63,0.6333333333333333,0.55,0.5,proposed,4.0
65,0.5,0.35,0.45,proposed,2.0
67,0.6666666666666666,0.6,0.4,proposed,2.0
69,0.6,0.35,0.65,proposed,1.0
71,0.5333333333333333,0.65,0.5,proposed,1.0
73,0.6666666666666666,0.6,0.45,proposed,3.0
75,0.7666666666666667,0.6,0.7,proposed,1.0
77,0.7666666666666667,0.6,0.55,proposed,3.0
79,0.8,0.6,0.5,proposed,1.0
81,0.5333333333333333,0.35,0.7,proposed,3.0
83,0.7,0.6,0.6,proposed,2.0
85,0.7,0.55,0.7,proposed,3.0
87,0.6666666666666666,0.4,0.5,proposed,2.0
89,0.7,0.45,0.5,proposed,3.0
91,0.7333333333333333,0.4,0.65,proposed,1.0
93,0.5666666666666667,0.5,0.7,proposed,1.0
95,0.5666666666666667,0.55,0.5,proposed,3.0
97,0.8333333333333334,0.55,0.7,proposed,3.0
99,0.8666666666666667,0.55,0.6,proposed,2.0
