,train_acc,valid_acc,test_acc,model,n_suprious
1,0.8,0.7,0.6,proposed,2.0
3,0.8333333333333334,0.55,0.3,proposed,4.0
5,0.9333333333333333,0.35,0.4,proposed,1.0
7,0.6666666666666666,0.5,0.4,proposed,3.0
9,0.7,0.65,0.55,proposed,2.0
11,0.8666666666666667,0.65,0.4,proposed,1.0
13,0.9,0.75,0.45,proposed,1.0
15,0.6666666666666666,0.45,0.2,proposed,2.0
17,0.7666666666666667,0.5,0.65,proposed,1.0
19,0.8333333333333334,0.65,0.75,proposed,1.0
21,0.6333333333333333,0.35,0.45,proposed,1.0
23,0.5333333333333333,0.35,0.55,proposed,4.0
25,0.6666666666666666,0.35,0.35,proposed,3.0
27,0.6666666666666666,0.55,0.35,proposed,2.0
29,0.8,0.65,0.9,proposed,2.0
31,0.6,0.55,0.45,proposed,2.0
33,0.8,0.6,0.75,proposed,1.0
35,0.9,0.4,0.45,proposed,2.0
37,0.8333333333333334,0.75,0.5,proposed,4.0
39,0.6333333333333333,0.4,0.55,proposed,2.0
41,0.8333333333333334,0.65,0.8,proposed,1.0
43,0.7666666666666667,0.5,0.45,proposed,2.0
45,0.6666666666666666,0.4,0.3,proposed,4.0
47,0.6,0.5,0.8,proposed,1.0
49,0.8666666666666667,0.45,0.55,proposed,2.0
51,0.6,0.45,0.4,proposed,2.0
53,0.7,0.45,0.75,proposed,3.0
55,0.8666666666666667,0.55,0.8,proposed,3.0
57,0.7,0.55,0.6,proposed,1.0
59,0.6,0.45,0.6,proposed,1.0
61,0.6333333333333333,0.5,0.55,proposed,1.0
63,0.6333333333333333,0.45,0.65,proposed,1.0
65,0.5666666666666667,0.45,0.35,proposed,2.0
67,0.8,0.7,0.7,proposed,2.0
69,0.8,0.65,0.7,proposed,2.0
71,0.6333333333333333,0.4,0.55,proposed,3.0
73,0.6,0.25,0.75,proposed,4.0
75,0.6,0.5,0.5,proposed,2.0
77,0.8333333333333334,0.65,0.45,proposed,3.0
79,0.5666666666666667,0.35,0.25,proposed,1.0
81,0.8666666666666667,0.35,0.6,proposed,1.0
83,0.6,0.6,0.35,proposed,2.0
85,0.6666666666666666,0.4,0.5,proposed,1.0
87,0.7666666666666667,0.45,0.6,proposed,2.0
89,0.8333333333333334,0.7,0.45,proposed,1.0
91,0.8333333333333334,0.65,0.5,proposed,2.0
93,0.6333333333333333,0.5,0.85,proposed,2.0
95,0.5666666666666667,0.55,0.55,proposed,2.0
97,0.9333333333333333,0.6,0.6,proposed,1.0
99,0.5666666666666667,0.45,0.2,proposed,2.0
