,train_acc,valid_acc,test_acc,model,n_suprious
0,0.8666666666666667,0.55,0.65,GCN,2.0
1,0.7666666666666667,0.6,0.6,proposed,2.0
2,0.5333333333333333,0.45,0.25,GCN,2.0
3,0.6333333333333333,0.5,0.65,proposed,2.0
4,0.8333333333333334,0.7,0.7,GCN,1.0
5,0.8,0.65,0.55,proposed,1.0
6,0.7,0.4,0.15,GCN,3.0
7,0.6333333333333333,0.55,0.15,proposed,3.0
8,0.8666666666666667,0.5,0.75,GCN,1.0
9,0.7333333333333333,0.6,0.75,proposed,1.0
10,0.5666666666666667,0.65,0.3,GCN,3.0
11,0.7666666666666667,0.65,0.7,proposed,3.0
12,0.5333333333333333,0.55,0.3,GCN,3.0
13,0.6,0.5,0.65,proposed,3.0
14,0.5666666666666667,0.8,0.6,GCN,3.0
15,0.5333333333333333,0.45,0.6,proposed,3.0
16,0.7,0.4,0.55,GCN,1.0
17,0.8333333333333334,0.5,0.65,proposed,1.0
18,0.5666666666666667,0.45,0.35,GCN,3.0
19,0.6666666666666666,0.6,0.25,proposed,3.0
20,0.5333333333333333,0.55,0.7,GCN,2.0
21,0.8,0.55,0.7,proposed,2.0
22,0.8666666666666667,0.6,0.35,GCN,2.0
23,0.5666666666666667,0.25,0.5,proposed,2.0
24,0.6,0.4,0.6,GCN,1.0
25,0.7666666666666667,0.45,0.4,proposed,1.0
26,0.7333333333333333,0.55,0.65,GCN,3.0
27,0.6666666666666666,0.6,0.65,proposed,3.0
28,0.7666666666666667,0.55,0.45,GCN,4.0
29,0.5666666666666667,0.65,0.2,proposed,4.0
30,0.6,0.45,0.45,GCN,3.0
31,0.7,0.6,0.55,proposed,3.0
32,0.5666666666666667,0.35,0.7,GCN,1.0
33,0.6,0.3,0.4,proposed,1.0
34,0.5333333333333333,0.7,0.75,GCN,1.0
35,0.8,0.45,0.2,proposed,1.0
36,0.8333333333333334,0.35,0.55,GCN,3.0
37,0.8,0.35,0.55,proposed,3.0
38,0.6666666666666666,0.5,0.6,GCN,4.0
39,0.5333333333333333,0.65,0.5,proposed,4.0
40,0.7666666666666667,0.65,0.55,GCN,4.0
41,0.6666666666666666,0.7,0.7,proposed,4.0
42,0.6333333333333333,0.35,0.45,GCN,1.0
43,0.6333333333333333,0.65,0.4,proposed,1.0
44,0.8333333333333334,0.55,0.45,GCN,3.0
45,0.8666666666666667,0.6,0.6,proposed,3.0
46,0.5666666666666667,0.55,0.85,GCN,2.0
47,0.5666666666666667,0.55,0.85,proposed,2.0
48,0.8,0.55,0.3,GCN,3.0
49,0.7333333333333333,0.4,0.3,proposed,3.0
50,0.7,0.5,0.6,GCN,1.0
51,0.7,0.4,0.7,proposed,1.0
52,0.5666666666666667,0.55,0.7,GCN,2.0
53,0.7,0.7,0.55,proposed,2.0
54,0.7666666666666667,0.6,0.5,GCN,1.0
55,0.8333333333333334,0.6,0.5,proposed,1.0
56,0.5666666666666667,0.7,0.5,GCN,4.0
57,0.9,0.55,0.35,proposed,4.0
58,0.5,0.45,0.8,GCN,1.0
59,0.7,0.45,0.2,proposed,1.0
60,0.7,0.6,0.5,GCN,1.0
61,0.6,0.6,0.6,proposed,1.0
62,0.8666666666666667,0.7,0.65,GCN,2.0
63,0.6333333333333333,0.7,0.65,proposed,2.0
64,0.6,0.85,0.8,GCN,3.0
65,0.7,0.7,0.7,proposed,3.0
66,0.5333333333333333,0.55,0.6,GCN,2.0
67,0.7666666666666667,0.65,0.35,proposed,2.0
68,0.8333333333333334,0.6,0.85,GCN,3.0
69,0.9666666666666667,0.5,0.85,proposed,3.0
70,0.9,0.65,0.4,GCN,2.0
71,0.7666666666666667,0.5,0.4,proposed,2.0
72,0.9333333333333333,0.7,0.45,GCN,2.0
73,0.9333333333333333,0.55,0.75,proposed,2.0
74,0.8,0.6,0.6,GCN,1.0
75,0.7666666666666667,0.6,0.6,proposed,1.0
76,0.6,0.4,0.55,GCN,1.0
77,0.6333333333333333,0.4,0.5,proposed,1.0
78,0.8333333333333334,0.4,0.7,GCN,4.0
79,0.9,0.6,0.4,proposed,4.0
80,0.5333333333333333,0.4,0.75,GCN,2.0
81,0.5333333333333333,0.4,0.75,proposed,2.0
82,0.8,0.65,0.5,GCN,3.0
83,0.6666666666666666,0.7,0.4,proposed,3.0
84,0.5,0.4,0.35,GCN,2.0
85,0.7666666666666667,0.55,0.55,proposed,2.0
86,0.7,0.5,0.45,GCN,2.0
87,0.5333333333333333,0.55,0.7,proposed,2.0
88,0.5333333333333333,0.55,0.55,GCN,1.0
89,0.5333333333333333,0.55,0.55,proposed,1.0
90,0.9666666666666667,0.75,0.4,GCN,1.0
91,0.9666666666666667,0.7,0.4,proposed,1.0
92,0.8333333333333334,0.75,0.55,GCN,5.0
93,0.7666666666666667,0.65,0.65,proposed,5.0
94,0.6666666666666666,0.6,0.25,GCN,2.0
95,0.6,0.5,0.25,proposed,2.0
96,0.6,0.35,0.4,GCN,1.0
97,0.6333333333333333,0.3,0.45,proposed,1.0
98,0.7333333333333333,0.5,0.55,GCN,1.0
99,0.7333333333333333,0.5,0.4,proposed,1.0
